location,stateCode
Alabama,AK
Alaska,AL
Arizona,AR
Arkansas,AZ
California,CA
Colorado,CO
Connecticut,CT
Delaware,DC
District Of Columbia,DE
Florida,FL
Georgia,GA
Hawaii,HI
Idaho,IA
Illinois,ID
Indiana,IL
Iowa,IN
Kansas,KS
Kentucky,KY
Louisiana,LA
Maine,MA
Maryland,MD
Massachusetts,ME
Michigan,MI
Minnesota,MN
Mississippi,MS
Missouri,MO
Montana,MT
Nebraska,NC
Nevada,NE
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
New York,NV
North Carolina,NY
North Dakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Virginia,VA
Washington,WA
West Virginia,WV
Wisconsin,WI
Wyoming,WY
